start month,start day,start year,start hour,start minute,ampm,label
9,14,2010,10,37,PM,Scorpio
10,28,2010,6,47,AM,Sagittarius
12,7,2010,11,49,PM,Capricorn
1,15,2011,10,41,PM,Aquarius
2,23,2011,1,6,AM,Pisces
4,2,2011,5,51,AM,Aries
5,11,2011,8,3,AM,Taurus
6,21,2011,3,50,AM,Gemini
8,3,2011,10,22,AM,Cancer
9,19,2011,2,51,AM,Leo
11,11,2011,4,15,AM,Virgo
7,3,2012,1,32,PM,Libra
8,23,2012,4,24,PM,Scorpio
10,7,2012,4,21,AM,Sagittarius
11,17,2012,2,36,AM,Capricorn
12,26,2012,12,49,AM,Aquarius
2,2,2013,1,54,AM,Pisces
3,12,2013,7,26,AM,Aries
4,20,2013,12,48,PM,Taurus
5,31,2013,11,39,AM,Gemini
7,13,2013,2,22,PM,Cancer
8,28,2013,3,5,AM,Leo
10,15,2013,12,5,PM,Virgo
12,7,2013,8,41,PM,Libra
7,26,2014,3,25,AM,Scorpio
9,13,2014,10,57,PM,Sagittarius
10,26,2014,11,43,AM,Capricorn
12,4,2014,11,57,PM,Aquarius
1,12,2015,10,20,AM,Pisces
2,20,2015,12,11,AM,Aries
3,31,2015,5,26,PM,Taurus
5,12,2015,3,40,AM,Gemini
5,24,2015,2,33,PM,Cancer
8,9,2015,12,32,AM,Leo
9,25,2015,3,18,AM,Virgo
11,12,2015,9,41,PM,Libra
1,3,2016,2,32,PM,Scorpio
3,6,2016,2,29,AM,Sagittarius
5,27,2016,2,51,PM,Scorpio
8,2,2016,6,49,PM,Sagittarius
9,27,2016,9,7,AM,Capricorn
11,9,2016,5,51,AM,Aquarius
12,19,2016,9,23,AM,Pisces
1,28,2017,5,39,AM,Aries
3,10,2017,12,34,AM,Taurus
4,21,2017,11,32,AM,Gemini
5,4,2017,5,16,PM,Cancer
7,20,2017,1,19,PM,Leo
9,5,2017,10,35,AM,Virgo
10,22,2017,7,29,PM,Libra
12,9,2017,8,59,AM,Scorpio
1,26,2018,12,56,PM,Sagittarius
3,17,2018,5,40,PM,Capricorn
5,16,2018,5,55,AM,Aquarius
8,13,2018,3,14,AM,Capricorn
9,11,2018,1,56,AM,Aquarius
11,15,2018,10,21,PM,Pisces
1,1,2019,2,20,AM,Aries
2,14,2019,10,51,AM,Taurus
3,31,2019,7,12,AM,Gemini
5,16,2019,4,9,AM,Cancer
7,2,2019,12,19,AM,Leo
8,18,2019,6,18,AM,Virgo
10,4,2019,5,22,AM,Libra
11,19,2019,7,40,AM,Scorpio
1,3,2020,9,37,AM,Sagittarius
2,16,2020,11,33,AM,Capricorn
3,30,2020,8,43,PM,Aquarius
5,13,2020,5,17,AM,Pisces
5,28,2020,2,45,AM,Aries
1,6,2021,10,27,PM,Taurus
3,4,2021,3,29,AM,Gemini
4,23,2021,12,49,PM,Cancer
5,11,2021,2,34,PM,Leo
7,29,2021,9,32,PM,Virgo
9,15,2021,1,14,AM,Libra
10,30,2021,3,21,PM,Scorpio
12,13,2021,9,53,AM,Sagittarius
1,24,2022,12,53,PM,Capricorn
3,6,2022,6,23,AM,Aquarius
4,15,2022,4,5,AM,Pisces
5,25,2022,12,17,AM,Aries
7,5,2022,7,4,AM,Taurus
8,20,2022,8,56,AM,Gemini
3,25,2023,12,45,PM,Cancer
5,20,2023,4,31,PM,Leo
7,10,2023,12,40,PM,Virgo
8,27,2023,2,20,PM,Libra
10,12,2023,5,4,AM,Scorpio
11,24,2023,10,15,AM,Sagittarius
1,4,2024,2,58,PM,Capricorn
2,13,2024,6,5,AM,Aquarius
3,23,2024,12,47,AM,Pisces
4,30,2024,4,33,PM,Aries
5,9,2024,5,35,AM,Taurus
7,20,2024,9,43,PM,Gemini
9,4,2024,8,46,PM,Cancer
11,4,2024,4,9,AM,Leo
1,6,2025,10,44,AM,Cancer
4,18,2025,5,20,AM,Leo
5,17,2025,9,35,AM,Virgo
8,7,2025,12,23,AM,Libra
9,22,2025,8,54,AM,Scorpio
11,4,2025,1,1,PM,Sagittarius
12,15,2025,7,33,AM,Capricorn
