start month,start day,start year,start hour,start minute,ampm,label
4,17,1981,12,8,PM,Taurus
5,11,1981,7,45,PM,Gemini
6,5,1981,6,29,AM,Cancer
6,29,1981,8,20,PM,Leo
7,24,1981,2,4,PM,Virgo
8,18,1981,1,44,PM,Libra
9,12,1981,10,51,PM,Scorpio
10,9,1981,12,4,AM,Sagittarius
11,5,1981,12,39,PM,Capricorn
12,8,1981,8,52,PM,Aquarius
1,23,1982,2,56,AM,Capricorn
3,2,1982,11,25,AM,Aquarius
4,6,1982,12,20,PM,Pisces
5,4,1982,12,27,PM,Aries
5,30,1982,9,2,PM,Taurus
6,25,1982,12,13,PM,Gemini
7,20,1982,4,21,PM,Cancer
8,14,1982,11,9,AM,Leo
9,7,1982,9,38,PM,Virgo
10,2,1982,1,32,AM,Libra
10,26,1982,1,19,AM,Scorpio
11,18,1982,11,7,PM,Sagittarius
12,12,1982,8,20,PM,Capricorn
1,5,1983,5,58,PM,Aquarius
1,29,1983,5,31,PM,Pisces
2,22,1983,9,35,PM,Aries
3,19,1983,9,51,AM,Taurus
4,13,1983,11,26,AM,Gemini
5,9,1983,10,56,AM,Cancer
6,6,1983,6,4,AM,Leo
7,10,1983,5,25,AM,Virgo
8,27,1983,11,43,AM,Leo
10,5,1983,7,35,PM,Virgo
11,9,1983,10,52,AM,Libra
12,6,1983,4,15,PM,Scorpio
1,1,1984,2,0,AM,Sagittarius
1,25,1984,6,51,PM,Capricorn
2,19,1984,4,53,AM,Aquarius
3,14,1984,12,35,PM,Pisces
4,7,1984,8,13,PM,Aries
5,2,1984,4,53,AM,Taurus
5,26,1984,2,40,PM,Gemini
6,20,1984,12,48,AM,Cancer
7,14,1984,10,30,AM,Leo
8,7,1984,7,40,PM,Virgo
9,1,1984,5,7,AM,Libra
9,25,1984,4,5,PM,Scorpio
10,20,1984,5,45,AM,Sagittarius
11,13,1984,11,54,PM,Capricorn
12,9,1984,3,26,AM,Aquarius
1,4,1985,6,23,AM,Pisces
2,2,1985,8,29,AM,Aries
6,6,1985,8,53,AM,Taurus
7,6,1985,8,1,AM,Gemini
8,2,1985,9,10,AM,Cancer
8,28,1985,3,39,AM,Leo
9,22,1985,2,53,AM,Virgo
10,16,1985,1,4,PM,Libra
11,9,1985,3,8,PM,Scorpio
12,3,1985,1,0,PM,Sagittarius
12,27,1985,9,17,AM,Capricorn
1,20,1986,5,36,AM,Aquarius
2,13,1986,3,11,AM,Pisces
3,9,1986,3,32,AM,Aries
4,2,1986,8,19,AM,Taurus
4,26,1986,7,10,PM,Gemini
5,21,1986,1,46,PM,Cancer
6,15,1986,6,52,PM,Leo
7,11,1986,4,23,PM,Virgo
8,7,1986,8,46,PM,Libra
9,7,1986,10,15,AM,Scorpio
1,7,1987,10,20,AM,Sagittarius
2,5,1987,3,3,AM,Capricorn
3,3,1987,7,55,AM,Aquarius
3,28,1987,4,20,PM,Pisces
4,22,1987,4,7,PM,Aries
5,17,1987,11,56,AM,Taurus
6,11,1987,5,15,AM,Gemini
7,5,1987,7,50,PM,Cancer
7,30,1987,6,49,AM,Leo
8,23,1987,2,0,PM,Virgo
9,16,1987,6,12,PM,Libra
10,10,1987,8,49,PM,Scorpio
11,3,1987,11,4,PM,Sagittarius
11,28,1987,1,51,AM,Capricorn
12,22,1987,6,29,AM,Aquarius
1,15,1988,4,4,PM,Pisces
2,9,1988,1,4,PM,Aries
3,6,1988,10,21,AM,Taurus
4,3,1988,5,7,PM,Gemini
5,17,1988,4,26,PM,Cancer
5,27,1988,7,36,AM,Gemini
8,6,1988,11,24,PM,Cancer
9,7,1988,11,37,AM,Leo
10,4,1988,1,15,PM,Virgo
10,29,1988,11,20,PM,Libra
11,23,1988,1,34,PM,Scorpio
12,17,1988,5,56,PM,Sagittarius
1,10,1989,6,8,PM,Capricorn
2,3,1989,5,15,PM,Aquarius
2,27,1989,4,59,PM,Pisces
3,23,1989,6,32,PM,Aries
4,16,1989,10,52,PM,Taurus
5,11,1989,6,28,AM,Gemini
6,4,1989,5,17,PM,Cancer
6,29,1989,7,21,AM,Leo
7,24,1989,1,31,AM,Virgo
8,18,1989,1,58,AM,Libra
9,12,1989,12,22,PM,Scorpio
10,8,1989,4,0,PM,Sagittarius
11,5,1989,10,13,AM,Capricorn
12,10,1989,5,6,AM,Aquarius
1,16,1990,3,23,PM,Capricorn
3,3,1990,5,52,PM,Aquarius
4,6,1990,9,13,AM,Pisces
5,4,1990,3,52,AM,Aries
5,30,1990,10,13,AM,Taurus
6,25,1990,12,14,AM,Gemini
7,20,1990,3,41,AM,Cancer
8,13,1990,10,5,PM,Leo
9,7,1990,8,21,AM,Virgo
10,1,1990,12,13,PM,Libra
10,25,1990,12,3,PM,Scorpio
11,18,1990,9,58,AM,Sagittarius
12,12,1990,7,18,AM,Capricorn
1,5,1991,5,3,AM,Aquarius
1,29,1991,4,44,AM,Pisces
2,22,1991,9,2,AM,Aries
3,18,1991,9,45,PM,Taurus
4,13,1991,12,10,AM,Gemini
5,9,1991,1,28,AM,Cancer
6,6,1991,1,16,AM,Leo
7,11,1991,5,6,AM,Virgo
8,21,1991,3,6,PM,Leo
10,6,1991,9,15,PM,Virgo
11,9,1991,6,37,AM,Libra
12,6,1991,7,21,AM,Scorpio
12,31,1991,3,19,PM,Sagittarius
1,25,1992,7,14,AM,Capricorn
2,18,1992,4,40,PM,Aquarius
3,13,1992,11,57,PM,Pisces
4,7,1992,7,16,AM,Aries
5,1,1992,3,41,PM,Taurus
5,26,1992,1,18,AM,Gemini
6,19,1992,11,22,AM,Cancer
7,13,1992,9,7,PM,Leo
8,7,1992,6,26,AM,Virgo
8,31,1992,4,9,PM,Libra
9,25,1992,3,31,AM,Scorpio
10,19,1992,5,47,PM,Sagittarius
11,13,1992,12,48,PM,Capricorn
12,8,1992,5,49,PM,Aquarius
1,3,1993,11,54,PM,Pisces
2,2,1993,12,37,PM,Aries
6,6,1993,10,3,AM,Taurus
7,6,1993,12,21,AM,Gemini
8,1,1993,10,38,PM,Cancer
8,27,1993,3,48,PM,Leo
9,21,1993,2,22,PM,Virgo
10,16,1993,12,13,AM,Libra
11,9,1993,2,7,AM,Scorpio
12,2,1993,11,54,PM,Sagittarius
12,26,1993,8,9,PM,Capricorn
1,19,1994,4,28,PM,Aquarius
2,12,1994,2,4,PM,Pisces
3,8,1994,2,28,PM,Aries
4,1,1994,7,20,PM,Taurus
4,26,1994,6,24,AM,Gemini
5,21,1994,1,26,AM,Cancer
6,15,1994,7,23,AM,Leo
7,11,1994,6,33,AM,Virgo
8,7,1994,2,36,PM,Libra
9,7,1994,5,12,PM,Scorpio
1,7,1995,12,7,PM,Sagittarius
2,4,1995,8,12,PM,Capricorn
3,2,1995,10,10,PM,Aquarius
3,28,1995,5,10,AM,Pisces
4,22,1995,4,7,AM,Aries
5,16,1995,11,22,PM,Taurus
6,10,1995,4,18,PM,Gemini
7,5,1995,6,39,AM,Cancer
7,29,1995,5,32,PM,Leo
8,23,1995,12,43,AM,Virgo
9,16,1995,5,1,AM,Libra
10,10,1995,7,48,AM,Scorpio
11,3,1995,10,18,AM,Sagittarius
11,27,1995,1,23,PM,Capricorn
12,21,1995,6,23,PM,Aquarius
1,15,1996,4,30,AM,Pisces
2,9,1996,2,30,AM,Aries
3,6,1996,2,1,AM,Taurus
4,3,1996,3,26,PM,Gemini
8,7,1996,6,15,AM,Cancer
9,7,1996,5,7,AM,Leo
10,4,1996,3,22,AM,Virgo
10,29,1996,12,2,PM,Libra
11,23,1996,1,34,AM,Scorpio
12,17,1996,5,34,AM,Sagittarius
1,10,1997,5,32,AM,Capricorn
2,3,1997,4,28,AM,Aquarius
